纄 #00007e84
𐬿 #00010b3f
\U00032467 #00032467
\U0003af97 #0003af97
頫 #0000982b
𗎔 #00017394
𬙍 #0002c64d
⢠ #000028a0
\U00032b41 #00032b41
𤊊 #0002428a
𘋡 #000182e1
\U00016cf9 #00016cf9
\U0003ee21 #0003ee21
\U00034398 #00034398
𧸖 #00027e16
地 #00005730
嵔 #00005d54
\U0003fa8a #0003fa8a
\U0001bb64 #0001bb64
\U00038b02 #00038b02
𫺵 #0002beb5
😇 #0001f607
\U000393bf #000393bf
\U00035db0 #00035db0
\U00036d08 #00036d08
\U000117f2 #000117f2
\U0001a5d0 #0001a5d0
\U0001ebb9 #0001ebb9
𐧆 #000109c6
𨄪 #0002812a
\U0001b4cb #0001b4cb
ူ #00001030
ຠ #00000ea0
٫ #0000066b
\U0003d879 #0003d879
㤹 #00003939
𩡫 #0002986b
\U0003209b #0003209b
\U0003419b #0003419b
\U00031720 #00031720
𨵡 #00028d61
𞋄 #0001e2c4
𝧊 #0001d9ca
𰗼 #000305fc
\U0003d7bc #0003d7bc
\U0003c540 #0003c540
\U0002ed6c #0002ed6c
\uf4ec #0000f4ec
浂 #00006d42
\U000143e3 #000143e3
\U00031940 #00031940
炭 #000070ad
\U000194d8 #000194d8
\U000123db #000123db
\U00016eba #00016eba
🕽 #0001f57d
𪬔 #0002ab14
⒴ #000024b4
\U00031f55 #00031f55
𪖅 #0002a585
싅 #0000c2c5
𪯅 #0002abc5
牌 #0000724c
ఏ #00000c0f
\U000147b8 #000147b8
\U00036e9b #00036e9b
𩑂 #00029442
𨦾 #000289be
𗯻 #00017bfb
𘧽 #000189fd
껃 #0000aec3
𭸼 #0002de3c
ￄ #0000ffc4
夕 #00005915
\U0003dc7f #0003dc7f
𪮥 #0002aba5
𩘷 #00029637
\U00016ff8 #00016ff8
\U0002efd3 #0002efd3
𐊏 #0001028f
\U0001a522 #0001a522
𬽄 #0002cf44
𩭑 #00029b51
\U00012954 #00012954
\uf7a3 #0000f7a3
␗ #00002417
ទ #00001791
𢯷 #00022bf7
\U00012bd7 #00012bd7
\U0003cd1d #0003cd1d
몪 #0000baaa
𗪬 #00017aac
\U00034260 #00034260
\U00039098 #00039098
\U0001d281 #0001d281
\U0003ecd8 #0003ecd8
\U0003822e #0003822e
𥞗 #00025797
\U0001db67 #0001db67
킹 #0000d0b9
\U00010dd5 #00010dd5
𪭰 #0002ab70
\U00039a3a #00039a3a
Г #00000413
\U00033bc9 #00033bc9
𑆳 #000111b3
\U00019231 #00019231
𖥍 #0001694d
녪 #0000b16a
\U00015ff1 #00015ff1
לּ #0000fb3c
𖺏 #00016e8f
\U0003da41 #0003da41
\U00035924 #00035924
𩾜 #00029f9c
⟑ #000027d1
\U0003816b #0003816b
𣕛 #0002355b
𫢳 #0002b8b3
\U0002f19d #0002f19d
\U00012e8f #00012e8f
𠬨 #00020b28
픘 #0000d518
𮬈 #0002eb08
棕 #000068d5
\U00038fbd #00038fbd
\uf4aa #0000f4aa
\U000391ad #000391ad
煲 #00007172
前 #0000524d
ꟽ #0000a7fd
\U000103eb #000103eb
\U0002f5c1 #0002f5c1
ጶ #00001336
𭺉 #0002de89
𫱵 #0002bc75
\U0003e387 #0003e387
\U0001a82f #0001a82f
쐋 #0000c40b
\U00014a2f #00014a2f
\U0002edc4 #0002edc4
𭬛 #0002db1b
𫲤 #0002bca4
\uf03e #0000f03e
𗯋 #00017bcb
\U0003304c #0003304c
р #00000440
𣺀 #00023e80
\U00037a3a #00037a3a
\U0003d2f4 #0003d2f4
𧲖 #00027c96
湋 #00006e4b
\U000105c1 #000105c1
\U0003c54a #0003c54a
𤦤 #000249a4
\U0003253f #0003253f
䰭 #00004c2d
\U0001c160 #0001c160
𰘰 #00030630
𩽣 #00029f63
\U000338f7 #000338f7
\U00019817 #00019817
𬼮 #0002cf2e
\U0003ff9e #0003ff9e
志 #00005fd7
成 #00006210
灟 #0000705f
𨊽 #000282bd
\U0001bdba #0001bdba
\U0003fbdd #0003fbdd
㘩 #00003629
𭦡 #0002d9a1
\U0003fc09 #0003fc09
\U0001257f #0001257f
𫊊 #0002b28a
\U00019839 #00019839
𪊐 #0002a290
\U0003b818 #0003b818
汜 #00006c5c
𦭹 #00026b79
荂 #00008342
𢼧 #00022f27
御 #00005fa1
\U00033951 #00033951
\U00014693 #00014693
𝓘 #0001d4d8
嚶 #000056b6
𞹩 #0001ee69
𫋭 #0002b2ed
𒆒 #00012192
\U00011bb7 #00011bb7
𤱇 #00024c47
𬋓 #0002c2d3
𩹈 #00029e48
\U0003e233 #0003e233
\U00015af6 #00015af6
\U00038060 #00038060
\U00032abe #00032abe
\ue757 #0000e757
\U00011e14 #00011e14
𱀰 #00031030
\U0003d5f7 #0003d5f7
𣙝 #0002365d
𫐱 #0002b431
𗭔 #00017b54
𗍎 #0001734e
𠶵 #00020db5
𤾪 #00024faa
🄕 #0001f115
ꏾ #0000a3fe
\U0003e18f #0003e18f
᭷ #00001b77
礤 #00007924
\U00032781 #00032781
𘜧 #00018727
𡃎 #000210ce
\uf798 #0000f798
𔒑 #00014491
𐧗 #000109d7
直 #000076f4
𮁟 #0002e05f
𩥤 #00029964
薖 #00008596
𖠡 #00016821
\U0001ba96 #0001ba96
𑌤 #00011324
闸 #000095f8
뢐 #0000b890
\U0003c444 #0003c444
𤐈 #00024408
\U0001a081 #0001a081
\U0001c6b1 #0001c6b1
\U0002fcde #0002fcde
\U0003d605 #0003d605
༛ #00000f1b
˫ #000002eb
𦟽 #000267fd
\U0003814b #0003814b
\U000354fe #000354fe
㚃 #00003683
\U0003e99f #0003e99f
唛 #0000551b
飓 #000098d3
𠚗 #00020697
𑌚 #0001131a
\xad #000000ad
럘 #0000b7d8
\U0003f422 #0003f422
𰌜 #0003031c
𩄶 #00029136
\U00034a7c #00034a7c
\U000342be #000342be
\U0001389b #0001389b
华 #0000534e
\U0002ef9c #0002ef9c
𪫈 #0002aac8
럔 #0000b7d4
걳 #0000ac73
\U0001a72f #0001a72f
𦟗 #000267d7
墑 #00005891
\U00019fc7 #00019fc7
\U00037678 #00037678
\U0003b5ad #0003b5ad
满 #00006ee1
\ua82e #0000a82e
\U0003a06d #0003a06d
𥛝 #000256dd
\U0003f68e #0003f68e
𤌺 #0002433a
𛉍 #0001b24d
\ueba2 #0000eba2
\U000396d1 #000396d1
꛶ #0000a6f6
𪱐 #0002ac50
𬨺 #0002ca3a
𤾌 #00024f8c
\U00038885 #00038885
\U00034e84 #00034e84
멫 #0000ba6b
㣨 #000038e8
\U0003d0cd #0003d0cd
𰉋 #0003024b
\U00037e14 #00037e14
\U0002f5a1 #0002f5a1
\U00012e12 #00012e12
。 #00003002
㷏 #00003dcf
܋ #0000070b
\U0001367f #0001367f
\U0003b6fd #0003b6fd
\U00033ac3 #00033ac3
𫦡 #0002b9a1
\U0001e29f #0001e29f
𨇍 #000281cd
\U000326da #000326da
𢳂 #00022cc2
\U00031f1a #00031f1a
夫 #0000592b
람 #0000b78c
𨛨 #000286e8
걒 #0000ac52
𭥵 #0002d975
𣘓 #00023613
𣓓 #000234d3
慧 #00006167
\U00038712 #00038712
𦵔 #00026d54
\U0003ab48 #0003ab48
\U00019874 #00019874
ᑋ #0000144b
𤝻 #0002477b
仃 #00004ec3
\U00031efd #00031efd
\U0003563b #0003563b
\U000151ea #000151ea
𞠚 #0001e81a
𤞠 #000247a0
\U0001c0be #0001c0be
냙 #0000b0d9
\U00010fdc #00010fdc
\U00037ec9 #00037ec9
\U0003145c #0003145c
\U0003e6af #0003e6af
\U0003c059 #0003c059
\U00033517 #00033517
𡜼 #0002173c
㒈 #00003488
\U00015a14 #00015a14
㨓 #00003a13
𥺥 #00025ea5
𭙁 #0002d641
ᭈ #00001b48
𰜺 #0003073a
\U0001c49b #0001c49b
\U0003b26e #0003b26e
𨧏 #000289cf
𢤓 #00022913
\u2067 #00002067
嗎 #000055ce
溅 #00006e85
ፐ #00001350
\U00039bd7 #00039bd7
\ueb79 #0000eb79
\U0001dae2 #0001dae2
铏 #000094cf
\U00016ed1 #00016ed1
\U0001adee #0001adee
\U0003c15a #0003c15a
🔁 #0001f501
𦷟 #00026ddf
\U0003d159 #0003d159
峘 #00005cd8
숀 #0000c200
𱄮 #0003112e
𫁂 #0002b042
\ue2cd #0000e2cd
𪷠 #0002ade0
\U0003b63f #0003b63f
墕 #00005895
\U0003e692 #0003e692
態 #0000614b
캻 #0000cebb
\U00033f71 #00033f71
𣓣 #000234e3
\U0003934f #0003934f
𧗤 #000275e4
𭧅 #0002d9c5
\U00018ee2 #00018ee2
\U000154a6 #000154a6
\U00039e1d #00039e1d
\U00038db8 #00038db8
🗼 #0001f5fc
\U000398a5 #000398a5
\U000345ea #000345ea
ማ #0000121b
贂 #00008d02
\U0001ec4b #0001ec4b
𦃼 #000260fc
𥃢 #000250e2
𫸜 #0002be1c
𢩊 #00022a4a
𣏝 #000233dd
\U00014912 #00014912
\U0002feb1 #0002feb1
\U0001ffa6 #0001ffa6
𥬵 #00025b35
\U000331db #000331db
\U00033fc8 #00033fc8
\U0003408d #0003408d
\U0001996e #0001996e
𫲻 #0002bcbb
; #0000003b
𮗵 #0002e5f5
波 #00006ce2
𤮴 #00024bb4
\U00015a96 #00015a96
\U00010b36 #00010b36
𥄖 #00025116
\U000359b2 #000359b2
𧙤 #00027664
鉃 #00009243
𝡰 #0001d870
\U00035a98 #00035a98
\U00035aad #00035aad
\U00033ff7 #00033ff7
𬥵 #0002c975
湢 #00006e62
𨊾 #000282be
询 #00008be2
\U0003faf8 #0003faf8
扊 #0000624a
\U0001de59 #0001de59
\U0001966a #0001966a
쥾 #0000c97e
\U0003afd1 #0003afd1
\U00019729 #00019729
\U0003c161 #0003c161
𮟕 #0002e7d5
摵 #00006475
騖 #00009a16
纯 #00007eaf
𓎖 #00013396
鱀 #0002fa0b
\U0003efc5 #0003efc5
𦆿 #000261bf
詍 #00008a4d
\U00019132 #00019132
췱 #0000cdf1
篇 #00007bc7
濾 #0000f984
\U00035059 #00035059
\U0001aba8 #0001aba8
\U00036b18 #00036b18
\U0001c943 #0001c943
𤕹 #00024579
𑫀 #00011ac0
\U0003a774 #0003a774
\U0001dd8e #0001dd8e
𥯪 #00025bea
讨 #00008ba8
\U0003f045 #0003f045
𪕀 #0002a540
乔 #00004e54
𩕼 #0002957c
켫 #0000cf2b
\U00036816 #00036816
\U00016e2f #00016e2f
춢 #0000cda2
\U00011980 #00011980
𒐱 #00012431
𑐜 #0001141c
𨖬 #000285ac
𪬁 #0002ab01
𥄂 #00025102
𪏩 #0002a3e9
ᕴ #00001574
伯 #00004f2f
\U000191bc #000191bc
𔑿 #0001447f
𢎠 #000223a0
\ue053 #0000e053
랜 #0000b79c
ꊠ #0000a2a0
\U0003cfd8 #0003cfd8
\U0001e42b #0001e42b
֨ #000005a8
눃 #0000b203
㗌 #000035cc
뺥 #0000bea5
𡟌 #000217cc
\U00014cb6 #00014cb6
\U0001cedc #0001cedc
𨬌 #00028b0c
\U0003dc7e #0003dc7e
彅 #00005f45
䣌 #000048cc
\U0003946f #0003946f
ᚺ #000016ba
\U0003a85a #0003a85a
𧜂 #00027702
𘱃 #00018c43
\U0001a8d7 #0001a8d7
𨩗 #00028a57
𢜶 #00022736
并 #00005e76
𢅐 #00022150
𣈠 #00023220
𦚑 #00026691
胯 #000080ef
\U00037450 #00037450
𘮈 #00018b88
𦕺 #0002657a
\U00014274 #00014274
璱 #000074b1
\U0002fc20 #0002fc20
𩐟 #0002941f
릭 #0000b9ad
旅 #000065c5
𤹨 #00024e68
𧴀 #00027d00
\U0003e1ff #0003e1ff
\U00032968 #00032968
\U00019757 #00019757
𗸥 #00017e25
\U0003bdc6 #0003bdc6
櫳 #00006af3
Ä #000000c4
𗴣 #00017d23
\U0001eada #0001eada
𬓇 #0002c4c7
𥌣 #00025323
𢀭 #0002202d
\U0003df43 #0003df43
𢫉 #00022ac9
\U0001992b #0001992b
뒀 #0000b480
\U0003cf9e #0003cf9e
𐜪 #0001072a
\U000338aa #000338aa
\U0001f77e #0001f77e
𣀛 #0002301b
𘁁 #00018041
祭 #0000796d
Ǆ #000001c4
\U00012a3b #00012a3b
𠮏 #00020b8f
ꈧ #0000a227
\U0003203f #0003203f
鿴 #00009ff4
䩥 #00004a65
\U00012779 #00012779
옽 #0000c63d
𮐀 #0002e400
𧉷 #00027277
㐒 #00003412
⥔ #00002954
𘔳 #00018533
\U0001c666 #0001c666
𘥊 #0001894a
𧞥 #000277a5
\U00013bb1 #00013bb1
𨜱 #00028731
\U0001de8e #0001de8e
\U0003db9b #0003db9b
\U00036c56 #00036c56
𤡑 #00024851
曁 #000066c1
𑅟 #0001115f
向 #00005411
ᡞ #0000185e
𑐗 #00011417
𬗲 #0002c5f2
𗶈 #00017d88
𥩡 #00025a61
𩨄 #00029a04
𬵪 #0002cd6a
软 #00008f6f
𣖣 #000235a3
𗫜 #00017adc
𑶌 #00011d8c
\U00019245 #00019245
僽 #000050fd
\U00012916 #00012916
总 #0000603b
\U00031c16 #00031c16
Ꝧ #0000a766
\U0003b999 #0003b999
𑪕 #00011a95
\U000313bd #000313bd
\U0003d7a1 #0003d7a1
𩺧 #00029ea7
\U0003ef51 #0003ef51
\U00034a9d #00034a9d
𐂚 #0001009a
𩵢 #00029d62
醴 #000091b4
𬼟 #0002cf1f
𨦙 #00028999
䕈 #00004548
𦥶 #00026976
网 #00007f51
ᡱ #00001871
쓰 #0000c4f0
\U0003a365 #0003a365
𮣬 #0002e8ec
厅 #00005385
𩒝 #0002949d
𡇟 #000211df
𦶄 #00026d84
𣚈 #00023688
𩎆 #00029386
𘢂 #00018882
\U0001efdd #0001efdd
돦 #0000b3e6
𢐉 #00022409
𰚋 #0003068b
\U000100fb #000100fb
𤳪 #00024cea
❈ #00002748
ꕐ #0000a550
䨫 #00004a2b
𰊝 #0003029d
𘓭 #000184ed
ꐣ #0000a423
\U00016063 #00016063
\U0002ebfd #0002ebfd
𠵥 #00020d65
\U0001b52a #0001b52a
𘡦 #00018866
\U00015fea #00015fea
𬣭 #0002c8ed
\U00015b49 #00015b49
\U00035016 #00035016
𥗀 #000255c0
エ #000030a8
𑖆 #00011586
\ue649 #0000e649
𭿛 #0002dfdb
银 #000094f6
𬒥 #0002c4a5
\U00033b45 #00033b45
𠇔 #000201d4
\U0003778c #0003778c
\U00014241 #00014241
𓐌 #0001340c
\U0001b30e #0001b30e
텠 #0000d160
𭎅 #0002d385
載 #00008f09
ㄸ #00003138
𝓅 #0001d4c5
\uf212 #0000f212
\U00010ae8 #00010ae8
\U000371ce #000371ce
\U000329d4 #000329d4
𣺽 #00023ebd
\U000366bf #000366bf
𧕨 #00027568
\U000150e4 #000150e4
\U0001fdd7 #0001fdd7
𢳒 #00022cd2
𐎫 #000103ab
\U000328be #000328be
\U0001b68f #0001b68f
궰 #0000adb0
\U00018f42 #00018f42
鲵 #00009cb5
\uf72f #0000f72f
𭕶 #0002d576
\U00034510 #00034510
𠙩 #00020669
话 #00008bdd
\ue349 #0000e349
\U0001ffa8 #0001ffa8
\U00037806 #00037806
\U00012576 #00012576
\U0001ea9b #0001ea9b
\U0001564a #0001564a
\U00011ce4 #00011ce4
巢 #00005de2
迯 #00008fef
엓 #0000c5d3
\U00036115 #00036115
𑀒 #00011012
\U00032370 #00032370
𤋋 #000242cb
\U00019fd5 #00019fd5
칤 #0000ce64
鋚 #000092da
볿 #0000bcff
𣦔 #00023994
\U0001a1d3 #0001a1d3
𥍺 #0002537a
凊 #000051ca
\u0cf6 #00000cf6
𬔈 #0002c508
𥺀 #00025e80
騂 #00009a02
상 #0000c0c1
ጋ #0000130b
𗲺 #00017cba
\U00035aa1 #00035aa1
罰 #00007f70
畗 #00007557
\U0003e1e8 #0003e1e8
𰪲 #00030ab2
\U0001b453 #0001b453
紅 #00007d05
惇 #0002f8a5
\U0002ee03 #0002ee03
张 #00005f20
\U000347f4 #000347f4
\U00031823 #00031823
氄 #00006c04
쌨 #0000c328
\U00034f8f #00034f8f
𐣿 #000108ff
\U000394e4 #000394e4
𧅉 #00027149
𠬑 #00020b11
𨟪 #000287ea
\U00014d94 #00014d94
\U00036a4a #00036a4a
\U0001c8f9 #0001c8f9
\U0001ea01 #0001ea01
瘐 #0002f93a
𫦉 #0002b989
否 #00005426
𤄶 #00024136
\U00034e76 #00034e76
𨑡 #00028461
𬫉 #0002cac9
\U00036519 #00036519
\U000154cd #000154cd
\U00019e15 #00019e15
𫨒 #0002ba12
𢑄 #00022444
\ue3ce #0000e3ce
𣔡 #00023521
篛 #00007bdb
架 #000067b6
̤ #00000324
\U0002f6de #0002f6de
\U00038fc2 #00038fc2
霑 #00009711
\U000371d5 #000371d5
\U0003a989 #0003a989
𰐡 #00030421
쐲 #0000c432
၅ #00001045
\U0003aeaa #0003aeaa
𘰳 #00018c33
쀐 #0000c010
믁 #0000bbc1
\U0003edc8 #0003edc8
\U000360c3 #000360c3
놕 #0000b195
ཊ #00000f4a
𖽼 #00016f7c
\U000331d9 #000331d9
𧫘 #00027ad8
튯 #0000d2af
\U0003e1b8 #0003e1b8
똒 #0000b612
\U0001965d #0001965d
唤 #00005524
뭦 #0000bb66
\U0003eb48 #0003eb48
\U00031bf5 #00031bf5
\U0003509f #0003509f
\U0003a34e #0003a34e
\U0003e564 #0003e564
𘢖 #00018896
\U00032758 #00032758
\U000319dd #000319dd
\U0001546d #0001546d
𭫝 #0002dadd
\U00031e8b #00031e8b
💎 #0001f48e
\U0003eae5 #0003eae5
\U00031b47 #00031b47
磸 #000078f8
\uf3ec #0000f3ec
\U00034cdd #00034cdd
끤 #0000b064
🨎 #0001fa0e
\U00013d3c #00013d3c
ⱍ #00002c4d
𬕁 #0002c541
应 #00005e94
\U0001d3bc #0001d3bc
\U00015c6c #00015c6c
\U0002f3c3 #0002f3c3
𬖗 #0002c597
\U0003e7a0 #0003e7a0
𤤝 #0002491d
\U00019590 #00019590
\U00014357 #00014357
𪺐 #0002ae90
旋 #000065cb
\U0001ee9d #0001ee9d
檸 #00006ab8
\u1ff5 #00001ff5
\U0001ed93 #0001ed93
摖 #00006456
\U000357b6 #000357b6
𧭂 #00027b42
\U00032cd6 #00032cd6
\U0001628c #0001628c
\U000330c9 #000330c9
嵹 #00005d79
\U0003cc06 #0003cc06
𐁋 #0001004b
\U00010e29 #00010e29
\U00014374 #00014374
ᔅ #00001505
㸖 #00003e16
𧋰 #000272f0
磬 #000078ec
𦨁 #00026a01
\U0003c55f #0003c55f
凃 #000051c3
䭣 #00004b63
\U00016fcd #00016fcd
𭍱 #0002d371
𩊤 #000292a4
\U0001fd1f #0001fd1f
\U0003e526 #0003e526
𘝨 #00018768
罁 #00007f41
\U0003fe2f #0003fe2f
\U00038097 #00038097
𑵠 #00011d60
鬼 #00009b3c
\U00011177 #00011177
\U00012b99 #00012b99
𤂝 #0002409d
\u0a3d #00000a3d
ꇗ #0000a1d7
𑂴 #000110b4
\U00018cde #00018cde
៕ #000017d5
쓐 #0000c4d0
\U0001bfa3 #0001bfa3
𧇌 #000271cc
\U0003bbff #0003bbff
榬 #000069ac
\U00015740 #00015740
\U00019f55 #00019f55
\U0001cb29 #0001cb29
乄 #00004e44
\U0001cd38 #0001cd38
괁 #0000ad01
\U0003a8ff #0003a8ff
\U0003e582 #0003e582
\U000397d8 #000397d8
𤷞 #00024dde
𰶌 #00030d8c
\U0002f201 #0002f201
𑩸 #00011a78
\U0002fabf #0002fabf
𤯌 #00024bcc
\U0002f76c #0002f76c
𭸚 #0002de1a
𢲰 #00022cb0
⓺ #000024fa
颾 #000098be
歎 #00006b4e
\U000340a1 #000340a1
탮 #0000d0ee
ᬢ #00001b22
\U0003a4ce #0003a4ce
\U0002f2d9 #0002f2d9
\U000389ae #000389ae
\U000361cf #000361cf
𖧺 #000169fa
𢪜 #00022a9c
𰟟 #000307df
叧 #000053e7
\U0003da83 #0003da83
𥎖 #00025396
ñ #000000f1
⢏ #0000288f
𮗲 #0002e5f2
\U0002ec6b #0002ec6b
\U00011b60 #00011b60
\U00012c2e #00012c2e
大 #00005927
𨠧 #00028827
\U00031eee #00031eee
탻 #0000d0fb
一 #00004e00
\U0001b8c6 #0001b8c6
μ #000003bc
\U0003d6e1 #0003d6e1
鐨 #00009428
\U00013558 #00013558
ഃ #00000d03
\U0003bf4f #0003bf4f
瑜 #0000745c
石 #000077f3
\U000372ca #000372ca
𤯱 #00024bf1
🮷 #0001fbb7
\U0001e638 #0001e638
㟔 #000037d4
𫛵 #0002b6f5
𨖍 #0002858d
× #000000d7
𡕓 #00021553
𒄐 #00012110
\U00014151 #00014151
𰖗 #00030597
𪋴 #0002a2f4
𥇩 #000251e9
\U0001cf55 #0001cf55
\U0002f029 #0002f029
\U0003365d #0003365d
𤑽 #0002447d
列 #00005217
\uab6d #0000ab6d
\U0001aac9 #0001aac9
䠤 #00004824
𠨦 #00020a26
6 #00000036
𓎸 #000133b8
𮗌 #0002e5cc
夸 #00005938
⡠ #00002860
𞹒 #0001ee52
𥐎 #0002540e
𫣙 #0002b8d9
\U0003a080 #0003a080
𦼎 #00026f0e
𤣎 #000248ce
利 #00005229
\ufb1c #0000fb1c
汴 #00006c74
𨆮 #000281ae
\U00039e4a #00039e4a
\U0003ab7d #0003ab7d
𛂭 #0001b0ad
\U00036699 #00036699
\ue877 #0000e877
ᨋ #00001a0b
𱀸 #00031038
𰎿 #000303bf
𰂬 #000300ac
\U0001dafe #0001dafe
懜 #000061dc
𝌍 #0001d30d
概 #00006982
㴻 #00003d3b
\U00036ce4 #00036ce4
𣊓 #00023293
௹ #00000bf9
𒓆 #000124c6
𭽠 #0002df60
\U000394bf #000394bf
圃 #00005703
𓃺 #000130fa
\U00014832 #00014832
\U0001be2d #0001be2d
𩋊 #000292ca
嫁 #00005ac1
숛 #0000c21b
藍 #0000f923
် #0000103a
\U000346ae #000346ae
\U00032e45 #00032e45
𠖓 #00020593
念 #00005ff5
\U00013e46 #00013e46
\U00019bc4 #00019bc4
𐒍 #0001048d
\U0003496c #0003496c
ã #000000e3
𨼘 #00028f18
\U0003d52c #0003d52c
𝜍 #0001d70d
越 #00008d8a
暧 #000066a7
💁 #0001f481
𥡑 #00025851
\U00016dd0 #00016dd0
토 #0000d1a0
𣆸 #000231b8
𮡝 #0002e85d
\U0003cb4d #0003cb4d
\U00034c9f #00034c9f
察 #00005bdf
\U00037e38 #00037e38
\U00038862 #00038862
𪧁 #0002a9c1
쿃 #0000cfc3
𑁞 #0001105e
䠇 #00004807
\U0003e13b #0003e13b
\U000143c7 #000143c7
𦕹 #00026579
𭡣 #0002d863
Ž #0000017d
堂 #00005802
ĝ #0000011d
\U00038eb2 #00038eb2
瘀 #00007600
\U00032ddd #00032ddd
\U0001384a #0001384a
\U0002f76a #0002f76a
𬋅 #0002c2c5
𮑂 #0002e442
𤀲 #00024032
𫥈 #0002b948
\U0003d53d #0003d53d
稱 #00007a31
\U0003d39a #0003d39a
\U00031661 #00031661
𖣖 #000168d6
\U000156a9 #000156a9
￣ #0000ffe3
\U0002f710 #0002f710
𩏄 #000293c4
𗞤 #000177a4
莿 #000083bf
𘐨 #00018428
\U0001a95c #0001a95c
混 #00006df7
\U0001661d #0001661d
\U0003eb5e #0003eb5e
\U0003b92e #0003b92e
ᑵ #00001475
\U00010bba #00010bba
𒅩 #00012169
𰜃 #00030703
걕 #0000ac55
🗳 #0001f5f3
\U00019cb6 #00019cb6
🍮 #0001f36e
𗮍 #00017b8d
\U000140ee #000140ee
앶 #0000c576
\U000395b9 #000395b9
𐂰 #000100b0
\U00011e1d #00011e1d
屗 #00005c57
\U00019703 #00019703
\U0001bc7d #0001bc7d
䔥 #00004525
𰜮 #0003072e
懳 #000061f3
𘊀 #00018280
𧿻 #00027ffb
\U0003aac8 #0003aac8
𬔶 #0002c536
\U00016fb1 #00016fb1
᭟ #00001b5f
\U000338cf #000338cf
𧬖 #00027b16
𨬖 #00028b16
𫬂 #0002bb02
ሶ #00001236
𩈑 #00029211
\U0002efbe #0002efbe
\U0001bb93 #0001bb93
\U00012f56 #00012f56
𬈌 #0002c20c
\U0003ea34 #0003ea34
𑛇 #000116c7
璨 #000074a8
𡨑 #00021a11
ꮋ #0000ab8b
\U00033972 #00033972
\U00011b19 #00011b19
节 #00008282
𣢬 #000238ac
\U000353ce #000353ce
𘯥 #00018be5
适 #00009002
놷 #0000b1b7
𤳜 #00024cdc
\U00019853 #00019853
菓 #000083d3
𐅄 #00010144
🗐 #0001f5d0
\U0001bb25 #0001bb25
ə #00000259
𪱮 #0002ac6e
𰔚 #0003051a
\U00012e46 #00012e46
憊 #0000618a
\U00013fd0 #00013fd0
𬑶 #0002c476
\U00013a27 #00013a27
𠅢 #00020162
\U0003a40c #0003a40c
𪚖 #0002a696
\U0001ccb6 #0001ccb6
⎇ #00002387
𤶿 #00024dbf
\U0001b59a #0001b59a
\U000382c2 #000382c2
𡤜 #0002191c
ਹ #00000a39
\U00039d11 #00039d11
𨸔 #00028e14
ナ #000030ca
𣂝 #0002309d
\U0001be26 #0001be26
𨻫 #00028eeb
䲹 #00004cb9
\U0003d1b6 #0003d1b6
퓺 #0000d4fa
𩍔 #00029354
𤺠 #00024ea0
\U0001cf9e #0001cf9e
𫿤 #0002bfe4
特 #00007279
\U0003e302 #0003e302
𦉚 #0002625a
遽 #0000907d
𘉷 #00018277
\U0001ba8a #0001ba8a
𨝫 #0002876b
树 #00006811
\U0003ef4b #0003ef4b
𧔴 #00027534
𮆟 #0002e19f
\uea54 #0000ea54
\U0001a5b1 #0001a5b1
બ #00000aac
㬮 #00003b2e
ट #0000091f
𘖛 #0001859b
𫷮 #0002bdee
𧲑 #00027c91
𝀻 #0001d03b
𫳽 #0002bcfd
\U0003a634 #0003a634
館 #00009928
㏛ #000033db
䫗 #00004ad7
𨺏 #00028e8f
\U0001acff #0001acff
\U0001bb62 #0001bb62
ꆏ #0000a18f
\U00031b23 #00031b23
拉 #000062c9
뉶 #0000b276
𧜋 #0002770b
㛸 #000036f8
𦠬 #0002682c
\U00032bfd #00032bfd
💆 #0001f486
\U0001ac1e #0001ac1e
䮘 #00004b98
𧝋 #0002774b
찷 #0000cc37
\U00039349 #00039349
𧐸 #00027438
\U00034e1c #00034e1c
\U000380f7 #000380f7
\u08e2 #000008e2
\U000373e1 #000373e1
🧼 #0001f9fc
緎 #00007dce
\U00039f9f #00039f9f
\U00035db5 #00035db5
챇 #0000cc47
隔 #00009694
\U000398e6 #000398e6
낵 #0000b0b5
\U0001b9cb #0001b9cb
摩 #00006469
\U0003e07f #0003e07f
\U00031979 #00031979
𦪣 #00026aa3
\U00019914 #00019914
륷 #0000b977
𐘁 #00010601
\uf7e1 #0000f7e1
\uf49a #0000f49a
\uea9d #0000ea9d
ⱁ #00002c41
𘪨 #00018aa8
羊 #00007f8a
𩏫 #000293eb
ᣤ #000018e4
繺 #00007e7a
𮇛 #0002e1db
\U00018fed #00018fed
𦦨 #000269a8
𩁄 #00029044
‚ #0000201a
𗼁 #00017f01
\U0003f947 #0003f947
ド #000030c9
𦘢 #00026622
볘 #0000bcd8
𤲲 #00024cb2
\U0003f18d #0003f18d
\U0003a0f1 #0003a0f1
觼 #000089fc
𠧕 #000209d5
\U00019980 #00019980
\U0001db57 #0001db57
핈 #0000d548
𭘯 #0002d62f
\U0001a64a #0001a64a
쌸 #0000c338
\U00012585 #00012585
𤆟 #0002419f
䟿 #000047ff
𧅃 #00027143
𗂖 #00017096
\U0003e311 #0003e311
\U00038f7c #00038f7c
\U0001dd44 #0001dd44
\U000352de #000352de
\U00019471 #00019471
廓 #00005ed3
𩫯 #00029aef
𢼔 #00022f14
\U0001cc3f #0001cc3f
\U0003ad0c #0003ad0c
